Banco/Billetera,Se requiere,Día de la promoción,Descuento,Rubro,Establecimiento,Tope de reintegro,Condiciones
Santander,MODO VISA,Viernes,25%,Supermercados,Carrefour Market,$20.000,"PROMOCIÓN VÁLIDA EXCLUSIVAMENTE PARA LOS DÍAS VIERNES DE MARZO. BENEFICIO DEL 25% PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE DÉBITO, CRÉDITO Y PREPAGAS VISA EMITIDAS POR EL BANCO SANTANDER A TRAVÉS DE MODO. VÁLIDO PARA TIENDAS HIPERMERCADO CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS Y CARREFOUR MAXI DE ARGENTINA. NO VÁLIDO PARA COMPRAS EN WWW.CARREFOUR.COM.AR. TOPE DE DESCUENTO $20.000 MENSUAL POR CLIENTE. EL IMPORTE BONIFICADO POR LAS COMPRAS EFECTUADAS SE ACREDITARÁ EN CUENTA EN EL ACTO. NO INCLUYE MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, ELECTRODOMÉSTICOS, ELECTRÓNICA, TELEFONÍA CELULAR, BODEGAS ALAMOS, ALTALAND, ANGÉLICA ZAPATA, ARUMA, CARO, CASA DE HERRERO, CHANDON (*),CUCHILLO DE PALO, D. V. CATENA, EL ENEMIGO, LA POSTA, LUCA, LUIGI BOSCA DE SANGRE , NICASIA, OJO DE BUEN CUBERO, RUTINI, SAINT FELICIEN, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. SOLO PARA CONSUMO FAMILIAR. Tope de reintegro mensual: $20.000"
Santander,MODO VISA,Viernes,25%,Supermercados,Carrefour Maxi,$20.000,"PROMOCIÓN VÁLIDA EXCLUSIVAMENTE PARA LOS DÍAS VIERNES DE MARZO. BENEFICIO DEL 25% PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE DÉBITO, CRÉDITO Y PREPAGAS VISA EMITIDAS POR EL BANCO SANTANDER A TRAVÉS DE MODO. VÁLIDO PARA TIENDAS HIPERMERCADO CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS Y CARREFOUR MAXI DE ARGENTINA. NO VÁLIDO PARA COMPRAS EN WWW.CARREFOUR.COM.AR. TOPE DE DESCUENTO $20.000 MENSUAL POR CLIENTE. EL IMPORTE BONIFICADO POR LAS COMPRAS EFECTUADAS SE ACREDITARÁ EN CUENTA EN EL ACTO. NO INCLUYE MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, ELECTRODOMÉSTICOS, ELECTRÓNICA, TELEFONÍA CELULAR, BODEGAS ALAMOS, ALTALAND, ANGÉLICA ZAPATA, ARUMA, CARO, CASA DE HERRERO, CHANDON (*),CUCHILLO DE PALO, D. V. CATENA, EL ENEMIGO, LA POSTA, LUCA, LUIGI BOSCA DE SANGRE , NICASIA, OJO DE BUEN CUBERO, RUTINI, SAINT FELICIEN, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. SOLO PARA CONSUMO FAMILIAR. Tope de reintegro mensual: $20.000"
Mercado Pago,n/a,Jueves,15%,Supermercados,Carrefour Express,Sin tope de reintegro,"BENEFICIO VÁLIDO EXCLUSIVAMENTE DURANTE LOS JUEVES DE MARZO 2025 EN LA REPÚBLICA ARGENTINA PARA PAGOS REALIZADOS A TRAVÉS DEL SERVICIO DE PROCESAMIENTO DE PAGOS DE MERCADO PAGO OPERADO POR MERCADOLIBRE S.R.L. “MERCADO PAGO” A TRAVÉS DEL ESCANEO DEL CÓDIGO QR CON LA APP DE MERCADO PAGO LA “APP”, ELIGIENDO COMO MEDIO DE PAGO DINERO EN CUENTA. EL BENEFICIO CONSISTE EN UN 15% DE DESCUENTO, SIN TOPE DE REINTEGRO, EN TODA TU COMPRA EN TODAS LAS SUCURSALES DE HIPERMERCADOS CARREFOUR, CARREFOUR MARKET Y CARREFOUR EXPRESS ""EL “BENEFICIO”. NO VALIDO PARA WWW.CARREFOUR.COM.AR NI CARREFOUR MAXI. EL BENEFICIO ESTARÁ A CARGO DE INC S.A. Y SE REALIZARÁ EN LÍNEA DE CAJAS SOBRE EL PRECIO DE CONTADO. MERCADO PAGO NO ES UNA ENTIDAD FINANCIERA. LOS FONDOS EN CUENTAS DE PAGO NO SON DEPÓSITOS GARANTIZADOS. MERCADOLIBRE S.R.L. CUIT 30703088534, CASEROS 3039, PISO 2º, CABA”. PROMOCIÓN NO VÁLIDA PARA COMPRAS EN CUOTAS CON TARJETAS DE CRÉDITO EMITIDAS EN EL EXTERIOR, TARJETAS DE COMPRA Y/U ORDEN DE COMPRA Y/O SIMILARES EMITIDAS POR CARREFOUR ARGENTINA, COMPRAS ABONADAS EN EUROS, DÓLARES NI TICKETS O CON LA APLICACIÓN DE MERCADO PAGO NI TARJETAS DE PROGRAMAS DE AYUDA SOCIAL.SOLO PARA CONSUMO FAMILIAR. PARA MÁS INFORMACIÓN COMUNÍQUESE GRATUITAMENTE AL TELÉFONO 0 800 444 8484."
Mercado Pago,n/a,Jueves,15%,Supermercados,Carrefour Market,Sin tope de reintegro.,"BENEFICIO VÁLIDO EXCLUSIVAMENTE DURANTE LOS JUEVES DE MARZO 2025 EN LA REPÚBLICA ARGENTINA PARA PAGOS REALIZADOS A TRAVÉS DEL SERVICIO DE PROCESAMIENTO DE PAGOS DE MERCADO PAGO OPERADO POR MERCADOLIBRE S.R.L. “MERCADO PAGO” A TRAVÉS DEL ESCANEO DEL CÓDIGO QR CON LA APP DE MERCADO PAGO LA “APP”, ELIGIENDO COMO MEDIO DE PAGO DINERO EN CUENTA. EL BENEFICIO CONSISTE EN UN 15% DE DESCUENTO, SIN TOPE DE REINTEGRO, EN TODA TU COMPRA EN TODAS LAS SUCURSALES DE HIPERMERCADOS CARREFOUR, CARREFOUR MARKET Y CARREFOUR EXPRESS ""EL “BENEFICIO”. NO VALIDO PARA WWW.CARREFOUR.COM.AR NI CARREFOUR MAXI. EL BENEFICIO ESTARÁ A CARGO DE INC S.A. Y SE REALIZARÁ EN LÍNEA DE CAJAS SOBRE EL PRECIO DE CONTADO. MERCADO PAGO NO ES UNA ENTIDAD FINANCIERA. LOS FONDOS EN CUENTAS DE PAGO NO SON DEPÓSITOS GARANTIZADOS. MERCADOLIBRE S.R.L. CUIT 30703088534, CASEROS 3039, PISO 2º, CABA”. PROMOCIÓN NO VÁLIDA PARA COMPRAS EN CUOTAS CON TARJETAS DE CRÉDITO EMITIDAS EN EL EXTERIOR, TARJETAS DE COMPRA Y/U ORDEN DE COMPRA Y/O SIMILARES EMITIDAS POR CARREFOUR ARGENTINA, COMPRAS ABONADAS EN EUROS, DÓLARES NI TICKETS O CON LA APLICACIÓN DE MERCADO PAGO NI TARJETAS DE PROGRAMAS DE AYUDA SOCIAL.SOLO PARA CONSUMO FAMILIAR. PARA MÁS INFORMACIÓN COMUNÍQUESE GRATUITAMENTE AL TELÉFONO 0 800 444 8484."
Mi Carrefour Crédito,n/a,Martes,15%,Supermercados,Carrefour,Sin tope de reintegro.,"DESCUENTO EXCLUSIVO ABONANDO CON TARJETA MI CARREFOUR PREPAGA Y CREDITO. VÁLIDO LOS MARTES A PARTIR DEL 1 DE ENERO AL 31 DE DICIEMBRE DE 2025 EN LAS TIENDAS “HIPERMERCADOS CARREFOUR”, “CARREFOUR MARKET” Y “CARREFOUR EXPRESS” DE TODO EL PAÍS . NO VÁLIDO EN CARREFOUR MAXI. EL DESCUENTO SE HARÁ EFECTIVO EN EL ACTO SIN TOPE, DESCUENTO NO VALIDO ABONANDO A TRAVÉS DE PLATAFORMAS DIGITALES DE PAGO. EXCLUSIVO SOLO PARA CONSUMO FAMILIAR. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. QUEDAN EXCLUIDOS DEL DESCUENTO ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN, SONIDO, PRODUCTOS DE LAS SIGUIENTES BODEGAS Y MARCAS: ÁLAMOS, ALTALAND, ANGÉLICA ZAPATA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, D.V. CATENA, EL ENEMIGO, LA POSTA, LUCA, LUIGI BOSCA, NICASIA, OJO DE BUEN CUBERO, RUTINI, SAINT FELICIEN, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPAS 1 Y 2, CARNICERIA (CARNE VACUNA, POLLO, CERDO Y EMBUTIDOS) Y CONSERVADORAS DE CERVEZA. PARA MAS INFORMACION INGRESAR A CARREFOUR.COM.AR O BANCODESERVICIOSFINANCIEROS.COM.AR. OTORGA Y FINANCIA BANCO DE SERVICIOS FINANCIEROS S.A. CUIT 30-69726589-5, INSCRIPTA EN EL RPC EL 14/07/1998, CON N° 5705, L II DE SA, BERUTI 2915, CABA (C1425BBI)."
Mi Carrefour Crédito,n/a,Jueves,20%,Supermercados,Carrefour Online,Sin tope de reintegro.,"SUJETO A CONDICIONES DE OTORGAMIENTO Y/O APROBACIÓN CREDITICIA. 20% DESCUENTO: PROMOCIÓN VÁLIDA COMPRANDO LOS JUEVES DE MARZO DE 2025 EN LA REPÚBLICA ARGENTINA, EXCLUSIVAMENTE CON TARJETAS MI CARREFOUR CRÉDITO DE LA MARCA MASTERCARD EMITIDAS EN ARGENTINA. VÁLIDO PARA LAS COMPRAS REALIZADAS EN WWW.CARREFOUR.COM.AR. 20% (VEINTE POR CIENTO) DE AHORRO EN EL ACTO PARA COMPRAS EN UN (1) PAGO. SIN TOPE MÁXIMO DE DESCUENTO POR COMPRA . DESCUENTOS NO VALIDOS ABONANDO A TRAVÉS DE PLATAFORMAS DIGITALES DE PAGO. EXCLUSIVOS PARA CONSUMO FAMILIAR. NO ACUMULABLES CON OTRAS PROMOCIONES VIGENTES. QUEDAN EXCLUIDOS DE LOS DESCUENTOS ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN, SONIDO, PRODUCTOS DE BODEGAS CHANDON, TRUMPETER, LEONCIO ARIZU, LA RURAL, RUTINI WINES, BODEGA 33° SUR, CATENA ZAPATA, TERRAZAS DE LOS ANDES, SAINT FELICIEN, GRUPO CLOS DE LOS 7, LECHES INFANTILES Y MATERNIZADAS ETAPAS 1 Y 2, CARNICERIA (CARNE VACUNA, POLLO, CERDO Y EMBUTIDOS) Y CONSERVADORAS DE CERVEZA. PARA MAS INFORMACION INGRESAR A CARREFOUR.COM.AR O BANCODESERVICIOSFINANCIEROS.COM.AR. OTORGA BANCO DE SERVICIOS FINANCIEROS S.A., CUIT 30-69726589-5, INSCRIPTA EN EL RPC EL 14/07/1998, CON N° 5705, L II DE SA, BERUTI 2915, CABA (C1425BBI). LA PROMOCIÓN NO APLICA A PAGOS A TRAVÉS DE BILLETERAS VIRTUALES Y/O PLATAFORMAS DE PAGO ONLINE (POR EJEMPLO, PAYPAL, TODO PAGO, MERCADO PAGO, UALÁ, ETC.) NI TARJETAS DE CRÉDITO CORPORATIVAS Y RECARGABLES. PROMOCIÓN NO VÁLIDA PARA PAGOS CON 2 (DOS) TARJETAS. APLICABLE A TARJETAS MASTERCARD NACIONALES. NO ES ACUMULABLE CON CUPONES DE TICKET MÁS BAJO."
Mi Carrefour Prepaga,n/a,"Lunes, Martes, Viernes, Sábado, Domingo",15%,Supermercados,Carrefour Online,Sin tope de reintegro.,"SUJETO A CONDICIONES DE OTORGAMIENTO Y/O APROBACIÓN CREDITICIA. 15% DE DESCUENTO EXCLUSIVO ABONANDO CON TARJETA MI CARREFOUR PREPAGA. VÁLIDO DE VIERNES A MIÉRCOLES DEL 01 DE MARZO HASTA EL 30 DE MARZO DE 2025. UNICAMENTE PARA COMPRAS ONLINE EN CARREFOUR.COM.AR .DESCUENTO EN EL ACTO SIN TOPE NO VALIDO ABONANDO A TRAVÉS DE PLATAFORMAS DIGITALES DE PAGO. EXCLUSIVO PARA CONSUMO FAMILIAR. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. QUEDAN EXCLUIDOS DE LOS DESCUENTOS ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN, SONIDO, PRODUCTOS DE BODEGAS CHANDON, TRUMPETER, LEONCIO ARIZU, LA RURAL, RUTINI WINES, BODEGA 33° SUR, CATENA ZAPATA, TERRAZAS DE LOS ANDES, SAINT FELICIEN, GRUPO CLOS DE LOS 7, LECHES INFANTILES Y MATERNIZADAS ETAPAS 1 Y 2, CARNICERIA (CARNE VACUNA, POLLO, CERDO Y EMBUTIDOS) Y CONSERVADORAS DE CERVEZA. PARA MAS INFORMACION INGRESAR A CARREFOUR.COM.AR O BANCODESERVICIOSFINANCIEROS.COM.AR. OTORGA BANCO DE SERVICIOS FINANCIEROS S.A., CUIT 30-69726589-5, INSCRIPTA EN EL RPC EL 14/07/1998, CON N° 5705, L II DE SA, BERUTI 2915, CABA (C1425BBI). . LA PROMOCIÓN NO APLICA A PAGOS A TRAVÉS DE BILLETERAS VIRTUALES Y/O PLATAFORMAS DE PAGO ONLINE (POR EJEMPLO, PAYPAL, TODO PAGO, MERCADO PAGO, UALÁ, ETC.) NI TARJETAS DE CRÉDITO CORPORATIVAS Y RECARGABLES. PROMOCIÓN NO VÁLIDA PARA PAGOS CON 2 (DOS) TARJETAS. APLICABLE A TARJETAS MASTERCARD NACIONALES. NO ES ACUMULABLE CON CUPONES DE TICKET MÁS BAJO."
Mi Carrefour Prepaga,n/a,"Jueves, Miércoles",20%,Supermercados,Carrefour Online,Sin tope de reintegro.,"SUJETO A CONDICIONES DE OTORGAMIENTO Y/O APROBACIÓN CREDITICIA. 20% DESCUENTO: PROMOCIÓN VÁLIDA COMPRANDO LOS JUEVES DE MARZO DE 2025 EN LA REPÚBLICA ARGENTINA, EXCLUSIVAMENTE CON TARJETAS MI CARREFOUR PREPAGA DE LA MARCA MASTERCARD EMITIDAS EN ARGENTINA. VÁLIDO PARA LAS COMPRAS REALIZADAS EN WWW.CARREFOUR.COM.AR. 20% (VEINTE POR CIENTO) DE AHORRO EN EL ACTO PARA COMPRAS EN UN (1) PAGO. SIN TOPE MÁXIMO DE DESCUENTO. DESCUENTOS NO VALIDOS ABONANDO A TRAVÉS DE PLATAFORMAS DIGITALES DE PAGO. EXCLUSIVOS PARA CONSUMO FAMILIAR. NO ACUMULABLES CON OTRAS PROMOCIONES VIGENTES. QUEDAN EXCLUIDOS DE LOS DESCUENTOS ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN, SONIDO, PRODUCTOS DE BODEGAS CHANDON, TRUMPETER, LEONCIO ARIZU, LA RURAL, RUTINI WINES, BODEGA 33° SUR, CATENA ZAPATA, TERRAZAS DE LOS ANDES, SAINT FELICIEN, GRUPO CLOS DE LOS 7, LECHES INFANTILES Y MATERNIZADAS ETAPAS 1 Y 2, CARNICERIA (CARNE VACUNA, POLLO, CERDO Y EMBUTIDOS) Y CONSERVADORAS DE CERVEZA. PARA MAS INFORMACION INGRESAR A CARREFOUR.COM.AR O BANCODESERVICIOSFINANCIEROS.COM.AR. OTORGA BANCO DE SERVICIOS FINANCIEROS S.A., CUIT 30-69726589-5, INSCRIPTA EN EL RPC EL 14/07/1998, CON N° 5705, L II DE SA, BERUTI 2915, CABA (C1425BBI). LA PROMOCIÓN NO APLICA A PAGOS A TRAVÉS DE BILLETERAS VIRTUALES Y/O PLATAFORMAS DE PAGO ONLINE (POR EJEMPLO, PAYPAL, TODO PAGO, MERCADO PAGO, UALÁ, ETC.) NI TARJETAS DE CRÉDITO CORPORATIVAS Y RECARGABLES. PROMOCIÓN NO VÁLIDA PARA PAGOS CON 2 (DOS) TARJETAS. APLICABLE A TARJETAS MASTERCARD NACIONALES. NO ES ACUMULABLE CON CUPONES DE TICKET MÁS BAJO."
Mi Carrefour Crédito,ser mayor de 60,"Lunes, Martes, Miércoles, Jueves, Viernes",10%,Supermercados,Carrefour,$15.000,"VÁLIDO DE LUNES A VIERNES DEL 1 AL 31 DE MARZO DE 2025. EXCLUSIVO EN LOS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS, CARREFOUR.COM.AR Y EN EL CASO DE CARREFOUR MAXI PARA COMPRAS DE CLIENTES MINORISTAS. MÁXIMO DE DESCUENTO MENSUAL: $15.000. VÁLIDO CON MI CARREFOUR PARA MAYORES DE 60 AÑOS O ANSES. BENEFICIO NO ACUMULABLE CON OTRAS PROMOCIONES. (*) NO INCLUYE ELECTRO, MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, BODEGAS CHANDON, LEONCIO ARIZU, TERRAZAS DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, CATENA ZAPATA, BODEGAS 33 SUR, SAINT FELICIEN, CLOS DE LOS SIETE. NI PRODUCTOS DE CONVENIO DE PRECIOS JUSTOS, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. Tope máximo de descuento mensual: $15.000"
Mi Carrefour Prepaga,ser mayor de 60,"Lunes, Martes, Miércoles, Jueves, Viernes",10%,Supermercados,Carrefour,$15.000,"VÁLIDO DE LUNES A VIERNES DEL 1 AL 31 DE MARZO DE 2025. EXCLUSIVO EN LOS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS, CARREFOUR.COM.AR Y EN EL CASO DE CARREFOUR MAXI PARA COMPRAS DE CLIENTES MINORISTAS. MÁXIMO DE DESCUENTO MENSUAL: $15.000. VÁLIDO CON MI CARREFOUR PARA MAYORES DE 60 AÑOS O ANSES. BENEFICIO NO ACUMULABLE CON OTRAS PROMOCIONES. (*) NO INCLUYE ELECTRO, MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, BODEGAS CHANDON, LEONCIO ARIZU, TERRAZAS DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, CATENA ZAPATA, BODEGAS 33 SUR, SAINT FELICIEN, CLOS DE LOS SIETE. NI PRODUCTOS DE CONVENIO DE PRECIOS JUSTOS, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. Tope máximo de descuento mensual: $15.000"
Mi Carrefour Crédito,ser mayor de 60,"Lunes, Martes, Miércoles, Jueves, Viernes",10%,Supermercados,Carrefour Market,$15.000,"VÁLIDO DE LUNES A VIERNES DEL 1 AL 31 DE MARZO DE 2025. EXCLUSIVO EN LOS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS, CARREFOUR.COM.AR Y EN EL CASO DE CARREFOUR MAXI PARA COMPRAS DE CLIENTES MINORISTAS. MÁXIMO DE DESCUENTO MENSUAL: $15.000. VÁLIDO CON MI CARREFOUR PARA MAYORES DE 60 AÑOS O ANSES. BENEFICIO NO ACUMULABLE CON OTRAS PROMOCIONES. (*) NO INCLUYE ELECTRO, MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, BODEGAS CHANDON, LEONCIO ARIZU, TERRAZAS DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, CATENA ZAPATA, BODEGAS 33 SUR, SAINT FELICIEN, CLOS DE LOS SIETE. NI PRODUCTOS DE CONVENIO DE PRECIOS JUSTOS, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. Tope máximo de descuento mensual: $15.000"
Mi Carrefour Prepaga,ser mayor de 60,"Lunes, Martes, Miércoles, Jueves, Viernes",10%,Supermercados,Carrefour Market,$15.000,"VÁLIDO DE LUNES A VIERNES DEL 1 AL 31 DE MARZO DE 2025. EXCLUSIVO EN LOS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS, CARREFOUR.COM.AR Y EN EL CASO DE CARREFOUR MAXI PARA COMPRAS DE CLIENTES MINORISTAS. MÁXIMO DE DESCUENTO MENSUAL: $15.000. VÁLIDO CON MI CARREFOUR PARA MAYORES DE 60 AÑOS O ANSES. BENEFICIO NO ACUMULABLE CON OTRAS PROMOCIONES. (*) NO INCLUYE ELECTRO, MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, BODEGAS CHANDON, LEONCIO ARIZU, TERRAZAS DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, CATENA ZAPATA, BODEGAS 33 SUR, SAINT FELICIEN, CLOS DE LOS SIETE. NI PRODUCTOS DE CONVENIO DE PRECIOS JUSTOS, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. Tope máximo de descuento mensual: $15.000"
Mi Carrefour Crédito,ser mayor de 60,"Lunes, Martes, Miércoles, Jueves, Viernes",10%,Supermercados,Carrefour Express,$15.000,"VÁLIDO DE LUNES A VIERNES DEL 1 AL 31 DE MARZO DE 2025. EXCLUSIVO EN LOS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS, CARREFOUR.COM.AR Y EN EL CASO DE CARREFOUR MAXI PARA COMPRAS DE CLIENTES MINORISTAS. MÁXIMO DE DESCUENTO MENSUAL: $15.000. VÁLIDO CON MI CARREFOUR PARA MAYORES DE 60 AÑOS O ANSES. BENEFICIO NO ACUMULABLE CON OTRAS PROMOCIONES. (*) NO INCLUYE ELECTRO, MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, BODEGAS CHANDON, LEONCIO ARIZU, TERRAZAS DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, CATENA ZAPATA, BODEGAS 33 SUR, SAINT FELICIEN, CLOS DE LOS SIETE. NI PRODUCTOS DE CONVENIO DE PRECIOS JUSTOS, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. Tope máximo de descuento mensual: $15.000"
Mi Carrefour Prepaga,ser mayor de 60,"Lunes, Martes, Miércoles, Jueves, Viernes",10%,Supermercados,Carrefour Express,$15.000,"VÁLIDO DE LUNES A VIERNES DEL 1 AL 31 DE MARZO DE 2025. EXCLUSIVO EN LOS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS, CARREFOUR.COM.AR Y EN EL CASO DE CARREFOUR MAXI PARA COMPRAS DE CLIENTES MINORISTAS. MÁXIMO DE DESCUENTO MENSUAL: $15.000. VÁLIDO CON MI CARREFOUR PARA MAYORES DE 60 AÑOS O ANSES. BENEFICIO NO ACUMULABLE CON OTRAS PROMOCIONES. (*) NO INCLUYE ELECTRO, MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, BODEGAS CHANDON, LEONCIO ARIZU, TERRAZAS DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, CATENA ZAPATA, BODEGAS 33 SUR, SAINT FELICIEN, CLOS DE LOS SIETE. NI PRODUCTOS DE CONVENIO DE PRECIOS JUSTOS, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. Tope máximo de descuento mensual: $15.000"
Mi Carrefour Crédito,ser mayor de 60,"Lunes, Martes, Miércoles, Jueves, Viernes",10%,Supermercados,Carrefour Maxi,$15.000,"VÁLIDO DE LUNES A VIERNES DEL 1 AL 31 DE MARZO DE 2025. EXCLUSIVO EN LOS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS, CARREFOUR.COM.AR Y EN EL CASO DE CARREFOUR MAXI PARA COMPRAS DE CLIENTES MINORISTAS. MÁXIMO DE DESCUENTO MENSUAL: $15.000. VÁLIDO CON MI CARREFOUR PARA MAYORES DE 60 AÑOS O ANSES. BENEFICIO NO ACUMULABLE CON OTRAS PROMOCIONES. (*) NO INCLUYE ELECTRO, MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, BODEGAS CHANDON, LEONCIO ARIZU, TERRAZAS DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, CATENA ZAPATA, BODEGAS 33 SUR, SAINT FELICIEN, CLOS DE LOS SIETE. NI PRODUCTOS DE CONVENIO DE PRECIOS JUSTOS, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. Tope máximo de descuento mensual: $15.000"
Mi Carrefour Prepaga,ser mayor de 60,"Lunes, Martes, Miércoles, Jueves, Viernes",10%,Supermercados,Carrefour Maxi,$15.000,"VÁLIDO DE LUNES A VIERNES DEL 1 AL 31 DE MARZO DE 2025. EXCLUSIVO EN LOS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS, CARREFOUR.COM.AR Y EN EL CASO DE CARREFOUR MAXI PARA COMPRAS DE CLIENTES MINORISTAS. MÁXIMO DE DESCUENTO MENSUAL: $15.000. VÁLIDO CON MI CARREFOUR PARA MAYORES DE 60 AÑOS O ANSES. BENEFICIO NO ACUMULABLE CON OTRAS PROMOCIONES. (*) NO INCLUYE ELECTRO, MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, BODEGAS CHANDON, LEONCIO ARIZU, TERRAZAS DE LOS ANDES, TRUMPETER, LA RURAL, RUTINI WINES, CATENA ZAPATA, BODEGAS 33 SUR, SAINT FELICIEN, CLOS DE LOS SIETE. NI PRODUCTOS DE CONVENIO DE PRECIOS JUSTOS, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. Tope máximo de descuento mensual: $15.000"
